iter	Passed	Remaining
0	0	948
1	2	1005
2	3	1037
3	4	1044
4	5	1043
5	6	1050
6	7	1049
7	8	1045
8	9	1044
9	10	1048
10	11	1047
11	12	1047
12	13	1046
13	14	1045
14	15	1043
15	16	1044
16	18	1042
17	19	1041
18	20	1041
19	21	1039
20	22	1038
21	23	1039
22	24	1038
23	25	1037
24	26	1037
25	27	1035
26	28	1035
27	29	1035
28	30	1034
29	31	1033
30	33	1032
31	34	1031
32	35	1030
33	36	1029
34	37	1028
35	38	1026
36	39	1026
37	40	1025
38	41	1024
39	42	1023
40	43	1022
41	44	1020
42	45	1019
43	46	1017
44	47	1016
45	48	1015
46	50	1015
47	51	1014
48	52	1014
49	53	1013
50	54	1012
51	55	1011
52	56	1010
53	57	1008
54	58	1008
55	59	1007
56	60	1006
57	61	1005
58	62	1004
59	64	1003
60	65	1002
61	66	1001
62	67	1000
63	68	999
64	69	997
65	70	997
66	71	996
67	72	994
68	73	994
69	74	993
70	75	992
71	76	991
72	77	989
73	79	988
74	80	988
75	81	985
76	82	984
77	83	983
78	84	983
79	85	982
80	86	981
81	87	978
82	88	978
83	89	975
84	90	975
85	91	974
86	92	973
87	93	972
88	94	970
89	95	968
90	96	965
91	97	963
92	98	961
93	99	958
94	100	956
95	101	954
96	102	952
97	103	950
98	104	948
99	105	946
100	106	944
101	107	942
102	107	939
103	108	936
104	109	933
105	110	930
106	111	928
107	112	925
108	112	923
109	113	922
110	115	921
111	115	919
112	116	917
113	117	914
114	118	912
115	119	910
116	120	908
117	121	906
118	122	905
119	123	903
120	124	901
121	125	900
122	126	898
123	126	897
124	127	895
125	128	893
126	129	891
127	130	890
128	131	888
129	132	886
130	133	885
131	134	883
132	135	881
133	136	879
134	137	878
135	137	876
136	138	874
137	139	873
138	140	872
139	141	871
140	142	870
141	143	868
142	144	868
143	146	867
144	147	867
145	148	866
146	149	865
147	150	864
148	151	863
149	152	862
150	153	860
151	154	859
152	155	858
153	156	857
154	157	855
155	157	854
156	158	853
157	159	852
158	160	850
159	161	849
160	162	847
161	163	846
162	164	844
163	165	843
164	166	842
165	167	841
166	168	840
167	169	838
168	170	837
169	171	836
170	172	835
171	173	834
172	174	832
173	175	830
174	175	829
175	176	828
176	177	827
177	178	825
178	179	824
179	180	823
180	181	821
181	182	820
182	183	819
183	184	818
184	185	817
185	186	815
186	187	814
187	188	813
188	189	812
189	190	810
190	191	809
191	192	808
192	193	807
193	194	806
194	194	804
195	195	803
196	196	801
197	197	800
198	198	799
199	199	798
200	200	797
201	201	795
202	202	794
203	203	793
204	204	792
205	205	791
206	206	790
207	207	789
208	208	787
209	209	786
210	210	785
211	211	784
212	211	783
213	212	782
214	213	780
215	214	779
216	215	778
217	216	777
218	217	776
219	218	775
220	219	774
221	220	773
222	221	772
223	222	771
224	223	770
225	224	769
226	225	768
227	226	767
228	227	766
229	228	764
230	229	763
231	230	762
232	231	761
233	232	760
234	233	758
235	234	757
236	235	756
237	236	755
238	237	754
239	237	753
240	239	753
241	240	752
242	241	751
243	242	750
244	243	749
245	244	748
246	245	746
247	245	745
248	246	744
249	247	742
250	248	741
251	249	740
252	250	739
253	251	737
254	252	736
255	252	735
256	253	733
257	254	732
258	255	731
259	256	729
260	257	728
261	258	727
262	259	725
263	259	724
264	260	723
265	261	722
266	262	720
267	263	719
268	264	718
269	265	717
270	266	715
271	266	714
272	267	713
273	268	712
274	269	710
275	270	709
276	271	708
277	272	707
278	273	705
279	274	704
280	274	703
281	275	702
282	276	701
283	277	699
284	278	698
285	279	697
286	280	696
287	281	695
288	282	694
289	283	694
290	284	693
291	285	692
292	286	691
293	287	690
294	288	688
295	289	687
296	290	686
297	291	685
298	292	684
299	292	683
300	294	682
301	294	681
302	295	680
303	296	679
304	297	678
305	298	677
306	299	676
307	300	675
308	301	674
309	302	673
310	303	672
311	304	671
312	305	670
313	306	669
314	307	668
315	308	667
316	309	666
317	310	665
318	311	664
319	312	663
320	313	662
321	314	661
322	315	660
323	316	659
324	317	658
325	318	657
326	319	656
327	320	655
328	321	654
329	321	653
330	322	652
331	323	651
332	324	650
333	325	649
334	326	648
335	327	647
336	328	646
337	329	645
338	330	644
339	331	643
340	332	642
341	333	641
342	334	640
343	335	639
344	336	638
345	337	637
346	338	636
347	338	635
348	339	633
349	340	632
350	341	631
351	342	630
352	343	629
353	344	628
354	345	627
355	346	626
356	347	625
357	348	624
358	348	623
359	349	621
360	350	620
361	351	620
362	352	619
363	353	618
364	354	617
365	355	616
366	356	615
367	357	613
368	358	612
369	359	611
370	360	610
371	361	609
372	361	608
373	362	607
374	363	606
375	364	605
376	365	604
377	366	603
378	367	602
379	368	601
380	369	600
381	370	599
382	371	598
383	372	597
384	373	596
385	374	595
386	375	594
387	376	593
388	377	592
389	377	591
390	378	590
391	379	589
392	380	588
393	381	586
394	382	585
395	383	584
396	384	583
397	385	582
398	386	581
399	387	580
400	388	579
401	389	578
402	389	577
403	390	576
404	391	575
405	392	574
406	393	573
407	394	572
408	395	571
409	396	570
410	397	569
411	398	568
412	399	567
413	400	566
414	400	565
415	401	564
416	402	563
417	403	562
418	404	561
419	405	560
420	406	559
421	407	558
422	408	557
423	409	556
424	410	555
425	411	554
426	412	552
427	413	551
428	413	550
429	414	549
430	415	548
431	416	547
432	417	547
433	418	546
434	419	545
435	420	544
436	421	543
437	422	542
438	423	541
439	424	539
440	425	538
441	426	537
442	427	536
443	427	535
444	428	534
445	429	533
446	430	532
447	431	531
448	432	530
449	433	529
450	434	528
451	435	527
452	436	526
453	437	525
454	438	524
455	438	523
456	439	522
457	440	521
458	441	520
459	442	519
460	443	518
461	444	517
462	445	516
463	446	515
464	447	514
465	448	513
466	449	512
467	450	511
468	450	510
469	451	509
470	452	508
471	453	507
472	454	506
473	455	505
474	456	504
475	457	503
476	458	502
477	459	501
478	460	500
479	461	499
480	462	498
481	462	497
482	463	496
483	464	495
484	465	494
485	466	493
486	467	492
487	468	491
488	469	490
489	470	489
490	471	488
491	472	487
492	473	486
493	473	485
494	474	484
495	475	483
496	476	482
497	477	481
498	478	480
499	479	479
500	480	478
501	481	477
502	482	476
503	483	475
504	484	474
505	485	473
506	486	472
507	487	471
508	487	470
509	488	469
510	489	468
511	490	467
512	491	466
513	492	465
514	493	464
515	494	463
516	495	462
517	496	461
518	497	460
519	498	459
520	499	458
521	499	457
522	500	456
523	501	455
524	502	454
525	503	453
526	504	452
527	505	451
528	506	450
529	507	449
530	508	448
531	509	447
532	510	446
533	510	445
534	511	444
535	512	443
536	513	442
537	514	441
538	515	440
539	516	439
540	517	438
541	518	437
542	519	436
543	520	436
544	521	435
545	522	434
546	523	433
547	523	432
548	524	431
549	525	430
550	526	429
551	527	428
552	528	427
553	529	426
554	530	425
555	531	424
556	532	423
557	533	422
558	534	421
559	535	420
560	535	419
561	536	418
562	537	417
563	538	416
564	539	415
565	540	414
566	541	413
567	542	412
568	543	411
569	544	410
570	545	409
571	546	408
572	547	407
573	548	406
574	549	405
575	549	404
576	550	403
577	551	402
578	552	401
579	553	400
580	554	399
581	555	398
582	556	397
583	557	396
584	558	396
585	559	395
586	560	394
587	560	393
588	561	392
589	562	391
590	563	390
591	564	389
592	565	388
593	566	387
594	567	386
595	568	385
596	569	384
597	570	383
598	571	382
599	572	381
600	573	380
601	574	379
602	575	378
603	576	377
604	576	376
605	577	375
606	578	374
607	579	373
608	580	372
609	581	371
